Time,Violet,Blue,Green,Yellow,Orange,Red
0,0,0,0,0,0,0
0,0,0,0,0,0,0
65,1633,1006,1166,1228,1243,1273
150,1634,1006,1167,1227,1244,1274
485,1632,1001,1162,1220,1239,1270
820,1558,927,1091,1140,1177,1175
1155,1574,940,1114,1172,1205,1198
1490,1579,945,1124,1184,1215,1207
1825,1581,945,1124,1184,1216,1207
2160,1580,945,1123,1184,1215,1207
2495,1581,947,1124,1185,1216,1209
2831,1580,945,1116,1176,1207,1204
30166,1576,942,1114,1173,1205,1202
30501,1577,940,1112,1170,1204,1201
30836,1574,938,1106,1164,1198,1196
31171,1569,935,1100,1157,1191,1192
31506,1572,936,1102,1159,1194,1193
31842,1582,944,1120,1181,1214,1208
32177,1580,944,1120,1182,1214,1208
32512,1582,945,1120,1182,1214,1209
32847,1582,945,1120,1183,1214,1209
60182,1580,944,1118,1180,1211,1207
60517,1583,945,1122,1184,1215,1210
60852,1586,946,1122,1184,1216,1210
61188,1586,946,1123,1185,1217,1211
61523,1589,947,1124,1187,1218,1212
61858,1588,947,1123,1186,1218,1212
62193,1592,948,1125,1188,1221,1214
62528,1593,948,1124,1188,1220,1213
62863,1592,948,1124,1188,1221,1213
90198,1593,948,1125,1189,1222,1214
90533,1594,948,1124,1188,1221,1213
90869,1594,949,1126,1190,1223,1215
91204,1596,948,1126,1189,1223,1215
91539,1593,945,1116,1178,1213,1208
91874,1593,945,1115,1177,1212,1207
92209,1591,945,1114,1176,1211,1207
92545,1597,949,1125,1189,1222,1214
92880,1596,949,1123,1188,1219,1218
120215,1599,950,1126,1190,1223,1215
120550,1599,950,1126,1191,1223,1215
120885,1599,950,1126,1190,1224,1215
121221,1600,950,1128,1192,1226,1217
121556,1599,949,1127,1191,1225,1216
121891,1602,950,1128,1192,1227,1218
122226,1602,950,1127,1191,1226,1217
122561,1598,947,1118,1182,1218,1213
122896,1596,946,1116,1178,1214,1211
150231,1601,950,1126,1190,1225,1217
150566,1600,948,1113,1176,1211,1213
150901,1617,953,1110,1169,1211,1218
151236,1602,946,1106,1157,1207,1207
151571,1598,944,1110,1169,1211,1206
151907,1612,956,1132,1195,1235,1222
152242,1610,955,1131,1195,1233,1221
152577,1610,954,1129,1193,1232,1220
152912,1609,955,1130,1194,1233,1221
180247,1599,946,1108,1168,1209,1205
180583,1607,954,1126,1190,1229,1219
180918,1608,953,1127,1191,1230,1220
181253,1601,948,1114,1175,1218,1211
181588,1609,952,1128,1190,1233,1221
181923,1610,948,1128,1189,1233,1221
182258,1611,943,1124,1181,1235,1222
182594,1609,941,1123,1179,1233,1220
182929,1608,940,1118,1175,1231,1218
210264,1612,942,1122,1179,1234,1221
210599,1609,941,1121,1178,1233,1220
210934,1609,940,1119,1176,1232,1219
211269,1610,941,1123,1179,1233,1220
211604,1609,941,1123,1179,1233,1220
211939,1612,944,1124,1181,1235,1221
212274,1604,938,1112,1165,1220,1211
212610,1603,886,1107,1160,1217,1208
212644,1599,934,1104,1157,1212,1205
212979,1608,942,1122,1179,1232,1220
240314,1609,944,1127,1183,1235,1221
241701,1608,957,1128,1196,1235,1222
242036,1608,957,1129,1197,1235,1222
242371,1609,957,1127,1195,1234,1222
242706,1608,956,1126,1194,1234,1221
270041,1608,958,1124,1192,1233,1220
270376,1600,950,1110,1175,1217,1209
270711,1608,957,1128,1196,1234,1221
271047,1609,957,1129,1197,1236,1222
271382,1607,959,1129,1195,1234,1221
271717,1606,956,1122,1189,1230,1218
272052,1605,959,1123,1191,1229,1218
272387,1609,961,1125,1195,1234,1221
272722,1608,958,1129,1197,1235,1222
300057,1609,960,1127,1195,1234,1221
300392,1608,959,1128,1195,1235,1221
300727,1608,962,1126,1196,1235,1221
301063,1607,958,1119,1190,1232,1220
301398,1609,957,1128,1196,1233,1222
301733,1609,958,1129,1194,1234,1222
302068,1607,956,1118,1187,1227,1217
302404,1596,948,1103,1167,1211,1206
302739,1609,959,1130,1197,1235,1223
330074,1599,950,1109,1173,1213,1207
330409,1600,950,1107,1169,1212,1207
330744,1600,948,1106,1171,1215,1208
331079,1527,827,926,1022,1179,1205
331114,1529,833,927,1024,1180,1206
331148,1531,832,930,1025,1181,1206
332983,1566,878,988,1086,1212,1219
360117,1562,876,976,1071,1197,1208
360152,1558,872,973,1065,1189,1203
360237,1556,873,976,1068,1190,1203
360371,1533,858,944,1020,1148,1167
360506,1530,854,942,1016,1144,1164
